subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
6,ISRSL0_BM3D,0.077,0.3,5.0,30.93555756502115,0.1989071613099735,0.8315929126014346
6,SL0,0.077,0.3,5.0,28.609554448554334,0.2655192926504516,0.7117153279888544
6,Zero-filled,,,,28.554696222458844,0.2655501210266255,0.7109267385835905
7,ISRSL0_wiener,0.077,0.3,5.0,27.987085937979366,0.2395218322557752,0.8317103139537686
7,ISRSL0_BM3D,0.077,0.3,5.0,26.484447838723625,0.19771833591486024,0.7458563917736624
7,SL0,0.077,0.3,5.0,23.376826272645104,0.2887566439665847,0.6001998977604838
7,Zero-filled,,,,23.294097080448267,0.2888810562065059,0.5986759473006159
8,ISRSL0_wiener,0.077,0.3,5.0,29.557360101288705,0.27513102489553226,0.8374437687040229
8,ISRSL0_BM3D,0.077,0.3,5.0,28.676058401108463,0.23473647202787268,0.7638519632096865
8,SL0,0.077,0.3,5.0,26.907921966195374,0.3089423912573897,0.6501970074100873
8,Zero-filled,,,,26.83755133382573,0.30899110307497657,0.6491395521718685
9,ISRSL0_wiener,0.077,0.3,5.0,26.262865508130652,0.277284967893092,0.8112932392743039
9,ISRSL0_BM3D,0.077,0.3,5.0,27.899775100466112,0.23791338530482217,0.7744889437330186
9,SL0,0.077,0.3,5.0,24.495866914206413,0.3083810327919878,0.6612906156602438
9,Zero-filled,,,,24.378972524205995,0.3084691060311011,0.660062504910083
10,ISRSL0_wiener,0.077,0.3,5.0,31.671192793892708,0.26135172725738687,0.8779044349712886
10,ISRSL0_BM3D,0.077,0.3,5.0,29.754045715242587,0.22550551218918408,0.8157011559087692
10,SL0,0.077,0.3,5.0,28.14961236803061,0.29709040512873475,0.7009897803697067
10,Zero-filled,,,,28.075027330051352,0.2971221495579367,0.700052555939223
11,ISRSL0_wiener,0.077,0.3,5.0,26.181618181929657,0.2690489806503012,0.8050388512782862
11,ISRSL0_BM3D,0.077,0.3,5.0,24.68381289057878,0.226905785062002,0.7178767644342624
11,SL0,0.077,0.3,5.0,23.69100489941513,0.3132805430014719,0.6086996631175885
11,Zero-filled,,,,23.588704493749056,0.31339645926417115,0.6072261186286474
12,ISRSL0_wiener,0.077,0.3,5.0,25.81837671570421,0.252334394955725,0.8284101730815003
12,ISRSL0_BM3D,0.077,0.3,5.0,26.692881354365365,0.2059693404651391,0.7611037021279771
12,SL0,0.077,0.3,5.0,23.950166106177043,0.29844924568590797,0.6247114324751846
12,Zero-filled,,,,23.844466304154146,0.29856127483842043,0.6231553224945673
13,ISRSL0_wiener,0.077,0.3,5.0,31.038692980482644,0.27001425469991946,0.8660940678249577
13,ISRSL0_BM3D,0.077,0.3,5.0,30.132371807514737,0.23202653238291823,0.8104332474737438
13,SL0,0.077,0.3,5.0,27.911852988059547,0.3055781201722873,0.6881679516489558
13,Zero-filled,,,,27.848953785029934,0.30562077755934286,0.6871517422069083
14,ISRSL0_wiener,0.077,0.3,5.0,31.84349349993106,0.29114220389253714,0.8735858607765233
14,ISRSL0_BM3D,0.077,0.3,5.0,29.135594056607182,0.2583657718149992,0.7731965367822617
14,SL0,0.077,0.3,5.0,26.99267083552405,0.35363011124810934,0.6622972727354447
14,Zero-filled,,,,26.869695293806096,0.3536742357619509,0.6608945301189741
15,ISRSL0_wiener,0.077,0.3,5.0,33.09172052272897,0.23262424907891985,0.904337911241778
15,ISRSL0_BM3D,0.077,0.3,5.0,31.528756742917317,0.1972056579623852,0.8366334091685887
15,SL0,0.077,0.3,5.0,29.0755605189192,0.3009642304468529,0.700647564718015
15,Zero-filled,,,,28.981697911348625,0.30098542188690897,0.6993898462135436
16,ISRSL0_wiener,0.077,0.3,5.0,28.79462548679847,0.27603951127930376,0.8471233777075973
16,ISRSL0_BM3D,0.077,0.3,5.0,27.984414824801608,0.24143246887229386,0.7956348812899893
16,SL0,0.077,0.3,5.0,25.354443821302105,0.32682733673748543,0.6524791059141125
16,Zero-filled,,,,25.250475766339772,0.32691899928425944,0.651020629401989
17,ISRSL0_wiener,0.077,0.3,5.0,25.46736074305349,0.2905621476432716,0.8185974226826965
17,ISRSL0_BM3D,0.077,0.3,5.0,25.000565049104857,0.2489766957003307,0.7334854571989671
17,SL0,0.077,0.3,5.0,22.79805247581052,0.33698580901991426,0.6108022540619688
17,Zero-filled,,,,22.6208794853262,0.3371608899312015,0.6085807468908598
18,ISRSL0_wiener,0.077,0.3,5.0,33.23710782028512,0.22053519660814053,0.8991849837311674
18,ISRSL0_BM3D,0.077,0.3,5.0,32.93204301755197,0.19351324376941206,0.8880427982656306
18,SL0,0.077,0.3,5.0,29.131505256681713,0.26455810749104025,0.7420650220189883
18,Zero-filled,,,,29.04987643048147,0.26459287619893807,0.741090826649244
19,ISRSL0_wiener,0.077,0.3,5.0,28.37579463584083,0.2923093831378794,0.8535767758455702
19,ISRSL0_BM3D,0.077,0.3,5.0,27.11889277104721,0.25512104287835174,0.8110609123212194
19,SL0,0.077,0.3,5.0,25.801119095448804,0.34012924326185867,0.6757364346932259
19,Zero-filled,,,,25.67826891275852,0.3401957280211643,0.674450582106057
20,ISRSL0_wiener,0.077,0.3,5.0,32.51688433063661,0.194022472632899,0.9135356615386298
20,ISRSL0_BM3D,0.077,0.3,5.0,30.362653535283147,0.17022997766396084,0.8781357965802514
20,SL0,0.077,0.3,5.0,27.537255069419466,0.2605514572532262,0.7310768196432711
20,Zero-filled,,,,27.395427812791198,0.2606099197946865,0.7295385292362554
21,ISRSL0_wiener,0.077,0.3,5.0,30.32335530747147,0.2986511956936993,0.8562140861514866
21,ISRSL0_BM3D,0.077,0.3,5.0,28.913083993602108,0.25865999797428296,0.7961805471170506
21,SL0,0.077,0.3,5.0,26.87872645490615,0.35586731896637475,0.6652883109795253
21,Zero-filled,,,,26.79387712009451,0.3559262948643051,0.664031977703588
22,ISRSL0_wiener,0.077,0.3,5.0,22.72486040653398,0.34441059226186793,0.7429782936354664
22,ISRSL0_BM3D,0.077,0.3,5.0,23.161458999466173,0.30604274534371856,0.670030042154147
22,SL0,0.077,0.3,5.0,21.83536478399172,0.3930539027354257,0.5702844877985817
22,Zero-filled,,,,21.69596871116916,0.3932700719165901,0.5684363524898134
23,ISRSL0_wiener,0.077,0.3,5.0,34.55421457602954,0.20802780099558174,0.9124081491152125
