subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
12,ISRSL0_BM3D,0.077,0.3,5.0,20.88736416206988,0.3972116035516983,0.6238101251766651
12,SL0,0.077,0.3,5.0,19.649600532216404,0.4047619824096483,0.5577182567477605
12,Zero-filled,,,,18.32978637189646,0.4054783016310303,0.545647889627845
13,ISRSL0_wiener,0.077,0.3,5.0,23.22946957991091,0.2356733277142594,0.7312649053475755
13,ISRSL0_BM3D,0.077,0.3,5.0,21.885502493232522,0.21722218619806266,0.6959072359643583
13,SL0,0.077,0.3,5.0,21.06490048806199,0.23159597145826732,0.6023450848386362
13,Zero-filled,,,,20.69485088011737,0.23178215192598695,0.5973765316446843
14,ISRSL0_wiener,0.077,0.3,5.0,26.49709671814467,0.3299888040115967,0.7053502311491654
14,ISRSL0_BM3D,0.077,0.3,5.0,25.989976322983406,0.3098807951380119,0.6893019900607862
14,SL0,0.077,0.3,5.0,24.569680867301948,0.32142549352563854,0.5945332452994526
14,Zero-filled,,,,24.273064262601473,0.3214987502943966,0.5920849726685025
15,ISRSL0_wiener,0.077,0.3,5.0,21.45426986507544,0.26208543510191595,0.7368512933272953
15,ISRSL0_BM3D,0.077,0.3,5.0,20.171405787747073,0.2422035265290547,0.6996795368587005
15,SL0,0.077,0.3,5.0,20.161601299619072,0.2536666444248314,0.627267222777583
15,Zero-filled,,,,19.414957689067457,0.25419177511025076,0.6138197652960754
16,ISRSL0_wiener,0.077,0.3,5.0,21.09499661194104,0.30222602680381283,0.678163981379011
16,ISRSL0_BM3D,0.077,0.3,5.0,19.150416390453337,0.2842866541262816,0.6412988601886807
16,SL0,0.077,0.3,5.0,18.488839365046502,0.2981245338649381,0.5446899562206343
16,Zero-filled,,,,18.196919204344617,0.29838295003181253,0.5409414833341207
17,ISRSL0_wiener,0.077,0.3,5.0,27.460379719980168,0.2689511966315285,0.7240280579202558
17,ISRSL0_BM3D,0.077,0.3,5.0,27.61389517785294,0.2529899980588628,0.7370325871520436
17,SL0,0.077,0.3,5.0,26.303962248807462,0.264239142821003,0.6663877215552132
17,Zero-filled,,,,26.35128160985568,0.26425529819725135,0.6658841423634898
18,ISRSL0_wiener,0.077,0.3,5.0,28.455840189939615,0.3267402865122888,0.7071070839216984
18,ISRSL0_BM3D,0.077,0.3,5.0,23.07628798747915,0.31153528578001477,0.6655390076466787
18,SL0,0.077,0.3,5.0,22.194944135136843,0.3236477811982755,0.5880902533275948
18,Zero-filled,,,,21.269871868561097,0.3239219879796388,0.5804646321529595
19,ISRSL0_wiener,0.077,0.3,5.0,23.905998447724638,0.35609994923134863,0.6968994185463954
19,ISRSL0_BM3D,0.077,0.3,5.0,23.636858167524796,0.33474773122250007,0.6873202929637557
19,SL0,0.077,0.3,5.0,18.122556850054362,0.35073376209771717,0.5645358540032651
19,Zero-filled,,,,17.08162787065748,0.3517633295955764,0.5474305557656114
