subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,38.48568629645533,0.17087354351357473,0.9622247230512244
0,ISRSL0_BM3D,0.077,0.3,5.0,35.88062647436462,0.14494343307900154,0.9192282059558818
0,SL0,0.077,0.3,5.0,31.815580183224995,0.23568479309816134,0.8077332920781997
0,Zero-filled,,,,31.708269179231866,0.23570170453912553,0.8069527969347486
1,ISRSL0_wiener,0.077,0.3,5.0,32.84680402248206,0.20732773076084693,0.9299152844600755
1,ISRSL0_BM3D,0.077,0.3,5.0,32.66613820222854,0.18001743179564075,0.8665550660438756
1,SL0,0.077,0.3,5.0,30.52032414289097,0.2757830110299967,0.7661110757648876
1,Zero-filled,,,,30.422921410798445,0.2758064270388498,0.7652590206065166
2,ISRSL0_wiener,0.077,0.3,5.0,34.59970298567142,0.17399745531261238,0.9238521963077077
2,ISRSL0_BM3D,0.077,0.3,5.0,32.222386614856326,0.15861359350760848,0.8293746942740737
2,SL0,0.077,0.3,5.0,27.37359859588873,0.23792241947011628,0.7215537195578062
2,Zero-filled,,,,27.225085456514183,0.2380174924789976,0.7200779666328119
3,ISRSL0_wiener,0.077,0.3,5.0,33.32238896058798,0.19807723127807672,0.9277111972311339
3,ISRSL0_BM3D,0.077,0.3,5.0,32.189370528657676,0.173613123979621,0.8694385199367305
3,SL0,0.077,0.3,5.0,26.619087554218023,0.26178466835569586,0.7355097633683235
3,Zero-filled,,,,26.502803428621835,0.2618840574305932,0.7341951136880319
4,ISRSL0_wiener,0.077,0.3,5.0,34.267461090173356,0.20482369872662615,0.9275182204539381
4,ISRSL0_BM3D,0.077,0.3,5.0,32.18182329743226,0.1761772637074551,0.8628660732347617
4,SL0,0.077,0.3,5.0,28.08777851240937,0.2679637881890284,0.7455573903277392
4,Zero-filled,,,,27.952130816617995,0.2680289735509037,0.7443926111896784
5,ISRSL0_wiener,0.077,0.3,5.0,32.851920177944464,0.2255995733329466,0.9230646091589189
5,ISRSL0_BM3D,0.077,0.3,5.0,29.160220359938556,0.19952030128295165,0.8276671908645984
5,SL0,0.077,0.3,5.0,27.680014590448863,0.28399587421326444,0.736663649421155
5,Zero-filled,,,,27.544035173180525,0.2840586377299822,0.7355540237330866
6,ISRSL0_wiener,0.077,0.3,5.0,35.48892805124047,0.1895685978078515,0.9385240219307903
6,ISRSL0_BM3D,0.077,0.3,5.0,34.668053709302036,0.1600629780396888,0.8970184700465166
6,SL0,0.077,0.3,5.0,31.970720813194934,0.24033762459798014,0.7953833823088172
6,Zero-filled,,,,31.92280091230485,0.2403499106389996,0.7947546065991973
7,ISRSL0_wiener,0.077,0.3,5.0,30.594638762659045,0.19125583155985212,0.9246880577619024
7,ISRSL0_BM3D,0.077,0.3,5.0,32.47875788894647,0.1630330682284744,0.872063198420034
7,SL0,0.077,0.3,5.0,27.228470558492937,0.26263162333838774,0.7388588285406301
7,Zero-filled,,,,27.124654898882493,0.26271343545690534,0.7376337156582664
8,ISRSL0_wiener,0.077,0.3,5.0,32.51081971505097,0.21978567586079573,0.9179444102137291
8,ISRSL0_BM3D,0.077,0.3,5.0,33.346905737756785,0.19248569032807275,0.8475926957571004
8,SL0,0.077,0.3,5.0,30.096781642802842,0.2790468534380876,0.746379487530547
