subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,44.54766132762305,0.10857225718866662,0.9855086923530276
0,ISRSL0_BM3D,0.077,0.3,5.0,44.36803738373163,0.09922875044213418,0.9821469749315956
0,SL0,0.077,0.3,5.0,36.71037691991853,0.19407857671786466,0.9036527991255134
0,Zero-filled,,,,36.69352198234242,0.1940769935073791,0.9032792479935923
1,ISRSL0_wiener,0.077,0.3,5.0,43.33714138072967,0.1255148009236055,0.979275122084467
1,ISRSL0_BM3D,0.077,0.3,5.0,41.64022505376174,0.11884528998969017,0.9659513753179383
1,SL0,0.077,0.3,5.0,34.072001709348115,0.22521173579243556,0.86687241563908
1,Zero-filled,,,,33.90541900225155,0.22524646836069173,0.8662360881385748
2,ISRSL0_wiener,0.077,0.3,5.0,41.556720262360685,0.11742273010176059,0.9748805983670281
2,ISRSL0_BM3D,0.077,0.3,5.0,38.007974641694894,0.11875430377149138,0.941561677320531
2,SL0,0.077,0.3,5.0,31.818033558748535,0.1930345692581076,0.8622560613715016
2,Zero-filled,,,,31.59888822141651,0.19312593595971564,0.8613136234358013
3,ISRSL0_wiener,0.077,0.3,5.0,39.122332605908944,0.13529153241670536,0.9716258866646282
3,ISRSL0_BM3D,0.077,0.3,5.0,35.93859603927092,0.1270420769348195,0.9379567129790971
3,SL0,0.077,0.3,5.0,30.95019334093031,0.2126490858033464,0.8536791462350724
3,Zero-filled,,,,30.78728820399617,0.2127404078686499,0.8528080798907672
4,ISRSL0_wiener,0.077,0.3,5.0,41.86556120433024,0.13244447482926855,0.9754754107500431
4,ISRSL0_BM3D,0.077,0.3,5.0,38.852029775342146,0.12094027610551607,0.9441575582061081
4,SL0,0.077,0.3,5.0,34.2619635273678,0.21546050022478863,0.8646758560953544
4,Zero-filled,,,,34.10385871930443,0.21548721527366738,0.8640417052419997
5,ISRSL0_wiener,0.077,0.3,5.0,41.14524171540062,0.1457300390135186,0.9746753031874991
5,ISRSL0_BM3D,0.077,0.3,5.0,36.940475462145784,0.13361454206330625,0.932558515674756
5,SL0,0.077,0.3,5.0,33.00150486590934,0.2320808892832868,0.8558285841660438
5,Zero-filled,,,,32.820052394890425,0.23212412931962942,0.8551464793768534
6,ISRSL0_wiener,0.077,0.3,5.0,42.25672777055543,0.12982427499536167,0.9749469805095227
6,ISRSL0_BM3D,0.077,0.3,5.0,40.755273134744705,0.11519947611415193,0.9583883653063017
6,SL0,0.077,0.3,5.0,36.07472757077838,0.1948170607939361,0.8891207067737041
6,Zero-filled,,,,36.032616436564446,0.19481486650692417,0.8887479885337409
7,ISRSL0_wiener,0.077,0.3,5.0,40.620497667992545,0.11851829527679636,0.9796904007274025
7,ISRSL0_BM3D,0.077,0.3,5.0,41.037839701815045,0.10343020182958579,0.9755161587956002
7,SL0,0.077,0.3,5.0,31.365537253760365,0.21745354224798022,0.8637764572402356
7,Zero-filled,,,,31.221266796237153,0.217534438741233,0.8629783389658905
8,ISRSL0_wiener,0.077,0.3,5.0,41.24097274145528,0.14451412716472906,0.9714884185576605
8,ISRSL0_BM3D,0.077,0.3,5.0,37.466293607550185,0.13435496325349963,0.9210424346213009
8,SL0,0.077,0.3,5.0,32.52242657074696,0.22702083858358516,0.844484551882989
8,Zero-filled,,,,32.31923428384077,0.22707775239699263,0.8436611405440662
9,ISRSL0_wiener,0.077,0.3,5.0,37.79896901753266,0.16521000786118906,0.967894649902499
9,ISRSL0_BM3D,0.077,0.3,5.0,34.62292925329205,0.14676493929028359,0.936272097438214
9,SL0,0.077,0.3,5.0,31.187227053256276,0.22954966793766537,0.8743245123365527
9,Zero-filled,,,,30.964600503999456,0.22963140879074045,0.873554750059844
10,ISRSL0_wiener,0.077,0.3,5.0,42.146009083755814,0.13967631338158584,0.9763088924128442
10,ISRSL0_BM3D,0.077,0.3,5.0,40.77134025584265,0.1289831121987715,0.9628832132091494
10,SL0,0.077,0.3,5.0,35.45910384399148,0.22340809389601873,0.8818728122969868
10,Zero-filled,,,,35.50018933895761,0.22339543775497406,0.8814843062858465
11,ISRSL0_wiener,0.077,0.3,5.0,38.003015401958706,0.14833722487441026,0.9688281965266451
11,ISRSL0_BM3D,0.077,0.3,5.0,35.67191811629348,0.14073757675378926,0.925858137468487
11,SL0,0.077,0.3,5.0,30.44482080527951,0.2311853411992135,0.8437549700929
11,Zero-filled,,,,30.260538980166515,0.23128096131823683,0.8428349608885582
12,ISRSL0_wiener,0.077,0.3,5.0,36.7653679963879,0.12557293113543525,0.9767516670844504
12,ISRSL0_BM3D,0.077,0.3,5.0,32.86702205343542,0.12156642430292912,0.9363790423227313
12,SL0,0.077,0.3,5.0,31.04526240508731,0.22139652718466496,0.8506309650962102
12,Zero-filled,,,,30.86013836384106,0.2214904596207385,0.8497037226094108
13,ISRSL0_wiener,0.077,0.3,5.0,41.396573663498344,0.14583947925622642,0.9744967530882536
13,ISRSL0_BM3D,0.077,0.3,5.0,38.96651171009776,0.1371153271544887,0.9426868067336074
13,SL0,0.077,0.3,5.0,35.05200383823001,0.22581979378392003,0.8747975639306912
13,Zero-filled,,,,35.050626397207694,0.2258115521268147,0.874282946227946
14,ISRSL0_wiener,0.077,0.3,5.0,39.8887366666198,0.17582939201039602,0.9653648816710972
14,ISRSL0_BM3D,0.077,0.3,5.0,37.398332980513196,0.18325086823617856,0.9280527090729299
