subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,36.72840713799925,0.20938526912947397,0.8946730137799808
0,ISRSL0_BM3D,0.077,0.3,5.0,35.780388949529076,0.19674820913154042,0.8734825248784124
0,SL0,0.077,0.3,5.0,32.37860981209356,0.21940843151259146,0.7835542462215258
0,Zero-filled,,,,32.31551459739465,0.21942880979081422,0.7809459160278558
1,ISRSL0_wiener,0.077,0.3,5.0,27.805412261081948,0.5974234521701829,0.5895564842648289
1,ISRSL0_BM3D,0.077,0.3,5.0,28.525289611656955,0.6040936302215686,0.5859526883141369
1,SL0,0.077,0.3,5.0,27.56062997666296,0.5620825504132215,0.6179460974393967
1,Zero-filled,,,,26.102714062706077,0.5623408840217309,0.617908427923992
2,ISRSL0_wiener,0.077,0.3,5.0,32.80010471560842,0.3168941390557422,0.8133529685691907
2,ISRSL0_BM3D,0.077,0.3,5.0,30.69468557788573,0.30787281653337156,0.78086099544378
2,SL0,0.077,0.3,5.0,29.365594494244704,0.3164150487459558,0.7194174819417338
2,Zero-filled,,,,28.17034403932781,0.3166259623594109,0.7139210463459438
3,ISRSL0_wiener,0.077,0.3,5.0,32.38451574820876,0.34822321181563054,0.7855328220004953
3,ISRSL0_BM3D,0.077,0.3,5.0,32.46923279488644,0.33580723787181926,0.7742818424371796
3,SL0,0.077,0.3,5.0,30.862098349346347,0.3392409772239081,0.7276919877680817
3,Zero-filled,,,,30.17588756970286,0.3393521617162802,0.7251989814290937
4,ISRSL0_wiener,0.077,0.3,5.0,31.508169016425512,0.2854101735834489,0.8423522150708797
4,ISRSL0_BM3D,0.077,0.3,5.0,30.49891409402893,0.26325695930538057,0.8112833283038509
4,SL0,0.077,0.3,5.0,28.06864942211152,0.2791517752183838,0.7360751891040347
4,Zero-filled,,,,27.493617792207488,0.2792632897261416,0.7336121912799323
5,ISRSL0_wiener,0.077,0.3,5.0,33.25783783052076,0.18934754897830583,0.8946913789387517
5,ISRSL0_BM3D,0.077,0.3,5.0,32.602799568365775,0.1691678730590152,0.8700730052401086
5,SL0,0.077,0.3,5.0,30.852283887863248,0.19513387189781667,0.7934578909945683
5,Zero-filled,,,,30.744475322617436,0.1952539939103263,0.7925638140609774
6,ISRSL0_wiener,0.077,0.3,5.0,32.12284232467495,0.2798473159845801,0.8328320756740946
6,ISRSL0_BM3D,0.077,0.3,5.0,31.73316961989648,0.2573527549044144,0.8197191050425139
6,SL0,0.077,0.3,5.0,30.104024919422624,0.2718534081359756,0.7509303632298714
6,Zero-filled,,,,30.0668102478557,0.2718878692153819,0.7502346285999311
7,ISRSL0_wiener,0.077,0.3,5.0,29.479551369839456,0.1486331371244838,0.9164987706495952
7,ISRSL0_BM3D,0.077,0.3,5.0,31.970258553953936,0.12649046539830058,0.9222568120512459
7,SL0,0.077,0.3,5.0,21.600933574616896,0.1594251249096685,0.789648303649331
7,Zero-filled,,,,21.358765055691027,0.15962776002584575,0.7864814467403386
8,ISRSL0_wiener,0.077,0.3,5.0,28.80121833267914,0.24495784920862773,0.8712958171649144
8,ISRSL0_BM3D,0.077,0.3,5.0,29.484913286896614,0.22226696438815927,0.8614088164501094
8,SL0,0.077,0.3,5.0,26.33477429219056,0.24272916895145868,0.7843742763307886
8,Zero-filled,,,,25.851929010672734,0.24284486753222326,0.7818105576804135
9,ISRSL0_wiener,0.077,0.3,5.0,28.639314831686224,0.23611050021603663,0.8800934809080063
9,ISRSL0_BM3D,0.077,0.3,5.0,24.260702277570992,0.2218405111872319,0.8027535114820744
9,SL0,0.077,0.3,5.0,22.517861750233724,0.2516581941536184,0.7129001029160738
9,Zero-filled,,,,22.0162314459243,0.2519826167488966,0.7078408186707849
10,ISRSL0_wiener,0.077,0.3,5.0,33.860048095785544,0.2335675332418239,0.8806227766629033
