subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,40.54626395725223,0.16512457801501335,0.9497470977786685
0,ISRSL0_BM3D,0.077,0.3,5.0,40.629940136028054,0.16244087769859789,0.9504661238711513
0,SL0,0.077,0.3,5.0,37.32473979770731,0.17504731271758384,0.9242248659760948
0,Zero-filled,,,,38.29808256045871,0.17499231835206353,0.9242332381703168
1,ISRSL0_wiener,0.077,0.3,5.0,31.464570209423975,0.4692810506040561,0.8203136520294206
1,ISRSL0_BM3D,0.077,0.3,5.0,31.25837067370588,0.46711709749382035,0.822060607014383
1,SL0,0.077,0.3,5.0,32.08742543055121,0.46714151113528063,0.8200100015803945
1,Zero-filled,,,,31.038975635380027,0.4674178855415205,0.8216374809298583
2,ISRSL0_wiener,0.077,0.3,5.0,36.92527403505362,0.2510258568447554,0.9062892592250587
2,ISRSL0_BM3D,0.077,0.3,5.0,35.61034171307041,0.2605849674115379,0.895673351208336
2,SL0,0.077,0.3,5.0,35.96676590897421,0.2578944732892522,0.8883036704742322
2,Zero-filled,,,,34.50622668276751,0.2581282517458433,0.8866357510319328
3,ISRSL0_wiener,0.077,0.3,5.0,35.16256589745035,0.2730328195625797,0.8954710268305432
3,ISRSL0_BM3D,0.077,0.3,5.0,35.00693458213383,0.28193341067776834,0.8859435070717538
3,SL0,0.077,0.3,5.0,35.544818991418644,0.27765035581553016,0.8812095429027558
3,Zero-filled,,,,34.42264965137533,0.27789863862518216,0.8803302262071001
4,ISRSL0_wiener,0.077,0.3,5.0,37.87349133078529,0.20009756496447478,0.9457182657117943
4,ISRSL0_BM3D,0.077,0.3,5.0,37.845140814815714,0.1928695420074229,0.9446084722050119
4,SL0,0.077,0.3,5.0,36.30624714170765,0.2227958629909455,0.9068249408373896
4,Zero-filled,,,,35.81592793854171,0.22286495992998098,0.9062003287006722
5,ISRSL0_wiener,0.077,0.3,5.0,37.89444114258864,0.1446864302506719,0.9646054664456195
5,ISRSL0_BM3D,0.077,0.3,5.0,39.14288632333864,0.136365597863741,0.9631358748371531
5,SL0,0.077,0.3,5.0,36.460177228465774,0.16455574131373576,0.9322940457635708
5,Zero-filled,,,,36.83337782877778,0.16475922741086485,0.9321552688493885
6,ISRSL0_wiener,0.077,0.3,5.0,38.94748696663656,0.19065512169102797,0.9522409444798077
6,ISRSL0_BM3D,0.077,0.3,5.0,39.08436182818613,0.17513574176864435,0.9559997754114812
6,SL0,0.077,0.3,5.0,36.32001136902632,0.21576057892421324,0.9105091943387963
6,Zero-filled,,,,36.43199276464806,0.2157977899481845,0.9102976343844138
7,ISRSL0_wiener,0.077,0.3,5.0,38.13282296512156,0.10713308450182575,0.9754565457581531
7,ISRSL0_BM3D,0.077,0.3,5.0,41.57583487593073,0.09453385539651536,0.9802391844779744
7,SL0,0.077,0.3,5.0,29.74629243511744,0.12900951947235248,0.9417849340057796
7,Zero-filled,,,,29.31592268785089,0.1292484792682632,0.9405233243062808
8,ISRSL0_wiener,0.077,0.3,5.0,34.04641801298416,0.17425336873448696,0.9553789817139482
8,ISRSL0_BM3D,0.077,0.3,5.0,35.83676052416721,0.16104293309353848,0.9610059261461174
8,SL0,0.077,0.3,5.0,32.16273067431783,0.19462176083253735,0.9250929616312307
8,Zero-filled,,,,31.356414229475504,0.1948000623003004,0.9236999914089188
9,ISRSL0_wiener,0.077,0.3,5.0,40.330974165150195,0.16356602328053385,0.959377794269526
9,ISRSL0_BM3D,0.077,0.3,5.0,38.79729177816938,0.16165375686507352,0.9553451592407769
9,SL0,0.077,0.3,5.0,36.7120437949458,0.1938092579564026,0.9159257423320549
9,Zero-filled,,,,35.852646224033805,0.1939215346538396,0.9149170374582034
10,ISRSL0_wiener,0.077,0.3,5.0,37.38278776666137,0.17098031825102253,0.9573115319821113
10,ISRSL0_BM3D,0.077,0.3,5.0,37.826313779897106,0.16858169128388867,0.9529131441924833
10,SL0,0.077,0.3,5.0,36.275757527600035,0.1943261807625068,0.9210901072880988
10,Zero-filled,,,,36.921927950508625,0.19444648171662526,0.9207426317125595
11,ISRSL0_wiener,0.077,0.3,5.0,44.91720410422392,0.09180239381572045,0.9837133521191537
11,ISRSL0_BM3D,0.077,0.3,5.0,45.621109732254666,0.07867644405986693,0.9869535249873528
11,SL0,0.077,0.3,5.0,41.72886988303424,0.10563340498632727,0.9656097656904609
11,Zero-filled,,,,41.64384233752516,0.10569748062791155,0.9655145384413452
12,ISRSL0_wiener,0.077,0.3,5.0,28.68301802298793,0.30782936654671605,0.8800913612747335
12,ISRSL0_BM3D,0.077,0.3,5.0,29.037796743143502,0.31167948362738973,0.8708532254040963
12,SL0,0.077,0.3,5.0,31.14927248611327,0.3158051096699612,0.8662836444742374
12,Zero-filled,,,,28.499386635997332,0.3168201996354485,0.8619152632184102
13,ISRSL0_wiener,0.077,0.3,5.0,41.34199514545968,0.1537538147990578,0.9624235868140106
13,ISRSL0_BM3D,0.077,0.3,5.0,41.877547558345576,0.14420301460273496,0.965652384550523
13,SL0,0.077,0.3,5.0,35.70028011426242,0.17153881750956462,0.9292576627119797
13,Zero-filled,,,,34.6614428203693,0.17168979185159072,0.9280113175704654
14,ISRSL0_wiener,0.077,0.3,5.0,36.370961563676076,0.2149023365801839,0.9403749110092215
14,ISRSL0_BM3D,0.077,0.3,5.0,36.28691657376548,0.20790940194001045,0.9352746995783566
14,SL0,0.077,0.3,5.0,34.37837187305085,0.24235242063405557,0.894299454811044
14,Zero-filled,,,,35.10294773519637,0.242342356313095,0.8941374780813436
15,ISRSL0_wiener,0.077,0.3,5.0,31.38157531394434,0.19439307566382805,0.9248962609578892
15,ISRSL0_BM3D,0.077,0.3,5.0,30.939778499688025,0.20320648121807972,0.9165129478850471
15,SL0,0.077,0.3,5.0,26.145654274489438,0.20005861503525948,0.8824094361386162
15,Zero-filled,,,,25.09368493468266,0.2015016605036776,0.8739256857549199
16,ISRSL0_wiener,0.077,0.3,5.0,39.781013977101544,0.1764956971749704,0.9618388652414404
16,ISRSL0_BM3D,0.077,0.3,5.0,39.701648859325395,0.16408974422382125,0.9600265517303239
16,SL0,0.077,0.3,5.0,36.1631314853324,0.21666504044735016,0.9048523990556558
16,Zero-filled,,,,36.24127072228107,0.21669205347599424,0.904394055582453
17,ISRSL0_wiener,0.077,0.3,5.0,39.3320521102164,0.1711078498228328,0.9571835104929386
17,ISRSL0_BM3D,0.077,0.3,5.0,39.83987328174612,0.15642054883454828,0.9605826446788517
17,SL0,0.077,0.3,5.0,37.06528185771343,0.19449149794240742,0.926390951646676
17,Zero-filled,,,,36.90024436866627,0.19453021461235917,0.9261577682239548
18,ISRSL0_wiener,0.077,0.3,5.0,36.951943021473475,0.2437092826970242,0.9126848705956832
18,ISRSL0_BM3D,0.077,0.3,5.0,36.4289944250974,0.2492277735081397,0.9036954354652437
18,SL0,0.077,0.3,5.0,34.44770206242809,0.25266873956429764,0.8910953093293998
18,Zero-filled,,,,35.54445407699455,0.252831887167903,0.8911702891511295
19,ISRSL0_wiener,0.077,0.3,5.0,28.92721370451548,0.26454651630099657,0.8865354835472656
19,ISRSL0_BM3D,0.077,0.3,5.0,27.4228128236687,0.2713185237942332,0.8701789186547363
19,SL0,0.077,0.3,5.0,27.74167491943834,0.2740523024615697,0.8618192298909096
19,Zero-filled,,,,25.98761269089051,0.27559653028763076,0.8539592743868877
20,ISRSL0_wiener,0.077,0.3,5.0,38.28140943246505,0.21648024410037678,0.9290546054383902
20,ISRSL0_BM3D,0.077,0.3,5.0,37.673163935685196,0.22416255408797148,0.9197288654478186
20,SL0,0.077,0.3,5.0,36.600631251635576,0.2268042203709569,0.9041226821634999
20,Zero-filled,,,,36.39693664155625,0.2268448044941881,0.9032143335556118
21,ISRSL0_wiener,0.077,0.3,5.0,39.3068448627868,0.19420257476637548,0.9380357912882853
21,ISRSL0_BM3D,0.077,0.3,5.0,38.85293790051283,0.1993125514149266,0.9341280164917457
21,SL0,0.077,0.3,5.0,38.19329956507186,0.19079371540406698,0.9259032053488716
21,Zero-filled,,,,37.22547988363259,0.1909540887620199,0.925227629215471
22,ISRSL0_wiener,0.077,0.3,5.0,37.1309708081609,0.22128102662974605,0.9403860451565863
22,ISRSL0_BM3D,0.077,0.3,5.0,36.078328189390845,0.21901541354412588,0.9296513855447257
22,SL0,0.077,0.3,5.0,34.161088767104964,0.25697449796444566,0.8893118316370189
22,Zero-filled,,,,34.66047217980723,0.2569517613458336,0.8888460673336718
23,ISRSL0_wiener,0.077,0.3,5.0,36.885346120678705,0.2556669718213181,0.8989875778256174
23,ISRSL0_BM3D,0.077,0.3,5.0,36.25468118647492,0.26615484826253977,0.8866940641564811
23,SL0,0.077,0.3,5.0,35.106836304963956,0.2630124031064129,0.8773269701454839
23,Zero-filled,,,,35.6120412865079,0.2630695038655672,0.8769338905668064
24,ISRSL0_wiener,0.077,0.3,5.0,34.786722583389015,0.22870951242826099,0.911435570467121
24,ISRSL0_BM3D,0.077,0.3,5.0,34.29525306768604,0.23891824869718778,0.9016248914394265
24,SL0,0.077,0.3,5.0,32.79168761988722,0.23316694897744716,0.8908755860024187
24,Zero-filled,,,,30.771082777338666,0.23377520020504153,0.8867903067059086
25,ISRSL0_wiener,0.077,0.3,5.0,37.814770691138,0.2157974038078191,0.9328786288165509
25,ISRSL0_BM3D,0.077,0.3,5.0,37.572308501118144,0.21416930277015922,0.9293057596745407
25,SL0,0.077,0.3,5.0,36.318879335283455,0.22495245065044858,0.911703563903651
25,Zero-filled,,,,36.481077163262206,0.22500402382771184,0.9115505431674851
26,ISRSL0_wiener,0.077,0.3,5.0,39.87291590147861,0.16710989483408953,0.9556130249881074
26,ISRSL0_BM3D,0.077,0.3,5.0,39.62297207980022,0.16276488292600577,0.9550128811650144
26,SL0,0.077,0.3,5.0,37.70960514231341,0.17924939232353432,0.9302634254946581
26,Zero-filled,,,,37.311550963899755,0.17944417491780126,0.9298365670127192
27,ISRSL0_wiener,0.077,0.3,5.0,34.22146133089726,0.27148713819910786,0.8970173838525317
27,ISRSL0_BM3D,0.077,0.3,5.0,33.236377966222676,0.27733010861503954,0.8897291738570798
27,SL0,0.077,0.3,5.0,33.49305584856489,0.2743944517081354,0.8855651837656732
27,Zero-filled,,,,31.733556247448004,0.27477388351154436,0.883569302443
28,ISRSL0_wiener,0.077,0.3,5.0,36.241362900816455,0.19188854920596818,0.9411077937981698
28,ISRSL0_BM3D,0.077,0.3,5.0,36.43394489646355,0.19703817463471857,0.9357573251709129
28,SL0,0.077,0.3,5.0,32.41398065651166,0.2054721280472986,0.9118789818413325
28,Zero-filled,,,,30.22320552551672,0.2061273764794816,0.9083396296119023
29,ISRSL0_wiener,0.077,0.3,5.0,41.04731311555437,0.13458407670960343,0.9677693720594286
29,ISRSL0_BM3D,0.077,0.3,5.0,40.80397102082709,0.1241621971433488,0.9687717415649568
29,SL0,0.077,0.3,5.0,38.52670803858199,0.147890601275671,0.9435426673723336
29,Zero-filled,,,,38.44715817483023,0.14800956334972165,0.9433489095727344
30,ISRSL0_wiener,0.077,0.3,5.0,40.18364052625029,0.17741285427778902,0.9517606861118124
30,ISRSL0_BM3D,0.077,0.3,5.0,40.23983813475097,0.17430876997017605,0.9524635855803035
30,SL0,0.077,0.3,5.0,37.89504634566808,0.19382956104977214,0.9218031010255636
30,Zero-filled,,,,37.380918798188574,0.1939624598356423,0.9206615005124412
