subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,24.09696257055063,0.2632741403072344,0.7093623300117554
0,ISRSL0_BM3D,0.077,0.3,5.0,21.84957456419533,0.24206082198792223,0.6472886492001486
0,SL0,0.077,0.3,5.0,21.27331586563775,0.281006548784523,0.5267661698824123
0,Zero-filled,,,,21.19378966999564,0.28109317239732967,0.5254073660166025
1,ISRSL0_wiener,0.077,0.3,5.0,23.28275627724155,0.3131675780387975,0.6908997038236592
1,ISRSL0_BM3D,0.077,0.3,5.0,21.973802645112688,0.28001908817631993,0.6476474487231584
1,SL0,0.077,0.3,5.0,18.65335875759394,0.3296343897946557,0.471062068955246
1,Zero-filled,,,,18.566741236160837,0.329800684217717,0.469399924603951
2,ISRSL0_wiener,0.077,0.3,5.0,23.152185158102192,0.2703924180234212,0.6937120608510204
2,ISRSL0_BM3D,0.077,0.3,5.0,22.904832453483152,0.2316687182457446,0.6579030422125234
2,SL0,0.077,0.3,5.0,18.542886546231014,0.2936473122431447,0.4663196330373927
2,Zero-filled,,,,18.445407637413467,0.29386899501185104,0.4643596146944299
3,ISRSL0_wiener,0.077,0.3,5.0,21.377327555685813,0.2870586818538374,0.6047684910827225
3,ISRSL0_BM3D,0.077,0.3,5.0,20.509430019620353,0.25382095288793827,0.5494099085683066
3,SL0,0.077,0.3,5.0,18.87158537494659,0.3187454634199001,0.4226193735250902
3,Zero-filled,,,,18.80131589627975,0.3189366373188683,0.4210871336013773
4,ISRSL0_wiener,0.077,0.3,5.0,20.42145719654021,0.31158423403218494,0.6269894748959783
4,ISRSL0_BM3D,0.077,0.3,5.0,21.3634546315988,0.27013321014632646,0.6118766761815528
4,SL0,0.077,0.3,5.0,19.47484511242353,0.32177012443761055,0.4681628287099419
4,Zero-filled,,,,19.39323337734177,0.3219122910710655,0.4666322991508366
5,ISRSL0_wiener,0.077,0.3,5.0,22.382750785078365,0.3223698973657491,0.6486742296484318
5,ISRSL0_BM3D,0.077,0.3,5.0,20.009614700387793,0.29541328862795047,0.5546436857235857
5,SL0,0.077,0.3,5.0,18.892961926279188,0.3408304111595743,0.4482587055716863
5,Zero-filled,,,,18.818048505630788,0.34096189453848685,0.44688403560262485
6,ISRSL0_wiener,0.077,0.3,5.0,24.67071358183048,0.2750291203022988,0.6780200031952979
6,ISRSL0_BM3D,0.077,0.3,5.0,23.89177619503037,0.24840208063130462,0.6641280677088539
6,SL0,0.077,0.3,5.0,22.859099833675383,0.28754601561440973,0.5431387660870979
6,Zero-filled,,,,22.807251992203618,0.2876040153739688,0.5421263642171524
7,ISRSL0_wiener,0.077,0.3,5.0,21.632075379912088,0.28849726197163245,0.6510727864993833
7,ISRSL0_BM3D,0.077,0.3,5.0,20.55172290216319,0.25133512202669933,0.6006828111858985
7,SL0,0.077,0.3,5.0,17.162467382050075,0.3203244908175479,0.40839010156363864
7,Zero-filled,,,,17.089887362585273,0.3205806692868666,0.4065595501574909
8,ISRSL0_wiener,0.077,0.3,5.0,23.62637721714842,0.3252705923748662,0.6655557726917045
8,ISRSL0_BM3D,0.077,0.3,5.0,22.842125303144677,0.29307329660591735,0.6199999984142128
8,SL0,0.077,0.3,5.0,20.799998588539665,0.33662547861820585,0.4769060267717302
8,Zero-filled,,,,20.726588787831925,0.3367317776384443,0.4756139080330587
9,ISRSL0_wiener,0.077,0.3,5.0,21.3111016601437,0.32285063152611027,0.628968471267809
9,ISRSL0_BM3D,0.077,0.3,5.0,21.48651593933087,0.2931676351279534,0.5963818879263602
9,SL0,0.077,0.3,5.0,19.72980310115328,0.3336643068582819,0.4883946142085695
9,Zero-filled,,,,19.644606900527457,0.33378314803035575,0.4870688523069463
10,ISRSL0_wiener,0.077,0.3,5.0,22.88036395456058,0.3129797045352328,0.6438887259490932
10,ISRSL0_BM3D,0.077,0.3,5.0,20.72302247096153,0.2850729804881908,0.5803863408021476
10,SL0,0.077,0.3,5.0,19.925937767986017,0.32521277296828816,0.46940037719389693
10,Zero-filled,,,,19.84627883309422,0.32533491498561046,0.4679797628758184
11,ISRSL0_wiener,0.077,0.3,5.0,21.317643568360573,0.31883839728418634,0.6161033734170844
11,ISRSL0_BM3D,0.077,0.3,5.0,21.167554146507108,0.2850801027587091,0.5725625147068898
11,SL0,0.077,0.3,5.0,20.47703897341684,0.3399574453642879,0.46192415194290937
11,Zero-filled,,,,20.41114351774806,0.34007414151286697,0.4606514801818038
12,ISRSL0_wiener,0.077,0.3,5.0,21.692778085949932,0.30622861119073413,0.6637012341974873
12,ISRSL0_BM3D,0.077,0.3,5.0,21.41189601921961,0.27125608865707157,0.6161861930800836
12,SL0,0.077,0.3,5.0,17.58173927848388,0.32818206573833825,0.4333733055841845
12,Zero-filled,,,,17.49587031860357,0.32840449265650856,0.43154636857313616
13,ISRSL0_wiener,0.077,0.3,5.0,24.247768649664387,0.3160262582820209,0.6938897010966475
13,ISRSL0_BM3D,0.077,0.3,5.0,23.563483046316378,0.290535992946949,0.6772991314794802
13,SL0,0.077,0.3,5.0,20.26726293018832,0.33444245927117927,0.5049772625461286
13,Zero-filled,,,,20.1628642049695,0.33462548221249944,0.5031471605724385
14,ISRSL0_wiener,0.077,0.3,5.0,24.850300050289952,0.35629089236526595,0.7283206318356861
14,ISRSL0_BM3D,0.077,0.3,5.0,21.647253540755244,0.32765887089930357,0.6491822018782707
14,SL0,0.077,0.3,5.0,19.909670011815034,0.38059648632542326,0.508305075476049
14,Zero-filled,,,,19.76065392657459,0.3807487841821301,0.506202849859369
15,ISRSL0_wiener,0.077,0.3,5.0,27.709071268102253,0.3029784514592296,0.805026630837055
15,ISRSL0_BM3D,0.077,0.3,5.0,27.352155716146882,0.28196433078504135,0.8071401580975286
15,SL0,0.077,0.3,5.0,24.275095143929732,0.3231897485199737,0.6130673445502012
15,Zero-filled,,,,24.14345829107258,0.3232434004150558,0.6114475830122001
16,ISRSL0_wiener,0.077,0.3,5.0,22.667483640888335,0.331444355948266,0.6855827235456321
16,ISRSL0_BM3D,0.077,0.3,5.0,20.47066687552165,0.296595913624454,0.6447842098453325
16,SL0,0.077,0.3,5.0,18.11478517267575,0.3576224450810248,0.4725411763063468
16,Zero-filled,,,,18.01943557197105,0.35785787824266196,0.4704483760140687
17,ISRSL0_wiener,0.077,0.3,5.0,21.036564187486043,0.3440970855491495,0.6765886819665284
17,ISRSL0_BM3D,0.077,0.3,5.0,19.086357788161422,0.30798261251062664,0.6223887027673339
